frame_number,timestamp,bbox_center_x,bbox_center_y,hip_center_x,hip_center_y,left_hip_x,left_hip_y,left_hip_visibility,right_hip_x,right_hip_y,right_hip_visibility,shoulder_center_x,shoulder_center_y,bbox_width,bbox_height,hip_available
850,35.39,749.0,572.0,735.1503372192383,574.721839427948,755.9895324707031,576.4766263961792,0.9984093308448792,714.3111419677734,572.9670524597168,0.9982717633247375,737.9793167114258,485.2021265029907,172,296,True
860,35.80666666666667,749.0,571.5,734.6279525756836,577.0933198928833,755.1236724853516,578.7839269638062,0.9984877109527588,714.1322326660156,575.4027128219604,0.9982924461364746,738.0695343017578,485.3690028190613,170,297,True
870,36.223333333333336,746.5,572.0,734.5873260498047,579.7983813285828,755.3998565673828,581.6834163665771,0.9985722303390503,713.7747955322266,577.9133462905884,0.9983381032943726,737.6539611816406,487.1449685096741,173,296,True
880,36.64,743.0,572.5,733.8649368286133,581.2825226783752,754.8691558837891,583.476676940918,0.998665988445282,712.8607177734375,579.0883684158325,0.9984045028686523,738.1533050537109,488.9412546157837,172,295,True
890,37.05666666666667,741.0,572.0,732.6142120361328,582.9185628890991,753.9253234863281,585.9210920333862,0.9987662434577942,711.3031005859375,579.916033744812,0.9984925389289856,738.6047744750977,489.976007938385,172,296,True
900,37.473333333333336,739.0,572.5,730.7653045654297,584.2562127113342,751.9583129882812,587.4869871139526,0.9988643527030945,709.5722961425781,581.0254383087158,0.9985888004302979,738.7995910644531,490.58570623397827,176,295,True
910,37.89,737.0,572.5,729.8934936523438,586.2222933769226,751.3154602050781,589.7524881362915,0.9989549517631531,708.4715270996094,582.6920986175537,0.9986826777458191,738.6117935180664,491.8480181694031,178,295,True
920,38.30833333333334,735.0,573.0,728.7000274658203,589.1413521766663,750.2715301513672,592.8011512756348,0.9990459680557251,707.1285247802734,585.4815530776978,0.998790979385376,737.7571487426758,494.0976619720459,178,294,True
930,38.725,733.5,573.5,727.2767639160156,591.4501547813416,749.1879272460938,595.2955198287964,0.9991179704666138,705.3656005859375,587.6047897338867,0.9988833665847778,736.2801742553711,495.81852436065674,181,293,True
940,39.141666666666666,729.0,574.5,723.6994552612305,596.2361168861389,746.2779998779297,599.9529504776001,0.9991334080696106,701.1209106445312,592.5192832946777,0.9989138841629028,734.0707778930664,499.0375828742981,190,291,True
950,39.55833333333334,726.0,574.5,721.6176223754883,598.2807970046997,744.8968505859375,602.1807289123535,0.9991384744644165,698.3383941650391,594.3808650970459,0.9989345073699951,731.1486434936523,500.29884338378906,200,291,True
960,39.975,730.5,576.0,721.151123046875,599.2342042922974,743.9311218261719,602.6997470855713,0.9991053938865662,698.3711242675781,595.7686614990234,0.9988827109336853,730.1750946044922,499.8022270202637,193,288,True
970,40.391666666666666,733.0,576.5,721.5606307983398,598.9734935760498,744.3112945556641,602.0745992660522,0.9990097880363464,698.8099670410156,595.8723878860474,0.9987988471984863,730.9114074707031,499.1272974014282,192,287,True
980,40.80833333333334,733.0,576.5,721.8939208984375,600.6961798667908,744.7391510009766,603.5044956207275,0.9988383054733276,699.0486907958984,597.887864112854,0.9986597895622253,731.270866394043,499.48225021362305,192,287,True
990,41.225,731.5,577.0,721.896858215332,605.4134345054626,745.2162933349609,607.947735786438,0.9986448884010315,698.5774230957031,602.8791332244873,0.9985108971595764,730.7106018066406,501.5791583061218,193,286,True
