frame_number,timestamp,YOLO_Simple_processing_time_ms,YOLO_Simple_fps,YOLO_Simple_track_count,YOLO_Simple_detection_count,YOLO_Simple_id_switches,ByteTrack_processing_time_ms,ByteTrack_fps,ByteTrack_track_count,ByteTrack_detection_count,ByteTrack_id_switches
174,1748166615.360644,31.734943389892578,30.650378144955894,2,2,0,32.68599510192871,30.3559655691512,2,2,0
175,1748166615.425401,33.5538387298584,30.595801661565712,2,2,0,32.54389762878418,30.361253914320006,2,2,0
176,1748166615.491812,33.66875648498535,30.567973586443014,3,3,0,32.64474868774414,30.354127531649155,2,3,0
177,1748166615.558461,32.48405456542969,30.593688995458447,4,3,0,32.91511535644531,30.3473411703645,1,3,0
178,1748166615.6241999,31.7380428314209,30.61245283294286,4,3,0,33.09917449951172,30.36842029048467,1,3,0
179,1748166615.6894,32.56869316101074,30.592045186004242,3,1,0,32.64498710632324,30.40363444731953,1,1,0
180,1748166615.7549708,31.997203826904297,30.606577821106793,1,1,0,32.74106979370117,30.38949935588205,1,1,0
181,1748166615.8200362,33.65588188171387,30.721995129566523,1,1,0,33.555030822753906,30.42438726456176,1,1,0
182,1748166615.8875551,31.66484832763672,30.774697215754568,1,1,0,32.562971115112305,30.45695187269326,1,1,0
183,1748166615.952079,31.955242156982422,30.783182180809096,1,1,0,31.436920166015625,30.49190624818254,1,1,0
184,1748166616.015785,33.020973205566406,30.78305415634075,1,1,0,33.00309181213379,30.512772387142206,1,1,0
185,1748166616.08213,32.69028663635254,30.76217782975877,2,2,0,32.49931335449219,30.501699870191732,1,2,0
186,1748166616.147663,33.29205513000488,30.720210001435557,2,1,0,33.87594223022461,30.490724047688282,1,1,0
187,1748166616.215157,33.12420845031738,30.696011247069855,1,1,0,33.419132232666016,30.495896851748626,1,1,0
188,1748166616.2820008,32.96804428100586,30.68254572055596,1,1,0,34.09385681152344,30.434851595500746,1,1,0
189,1748166616.34937,32.798051834106445,30.727509335167117,2,1,0,32.3789119720459,30.44155195663881,0,1,0
190,1748166616.41484,31.194686889648438,30.78123933577814,1,0,0,34.705162048339844,30.374666149113303,0,0,0
191,1748166616.481069,34.04808044433594,30.704303024772003,1,1,0,32.55605697631836,30.375494724746556,0,1,0
192,1748166616.547982,32.88888931274414,30.662470438154976,2,2,0,32.58395195007324,30.3559655691512,1,2,0
193,1748166616.613772,32.14597702026367,30.661006008702493,2,2,0,33.46729278564453,30.338897231360363,1,2,0
194,1748166616.679698,31.640052795410156,30.716685357683573,2,0,0,32.198190689086914,30.374930115204904,0,0,0
195,1748166616.7438478,32.31310844421387,30.70785480352009,2,2,1,33.184051513671875,30.37111038647104,1,2,0
196,1748166616.809668,34.50798988342285,30.631127850737755,2,2,0,34.22880172729492,30.321015118925814,1,2,0
197,1748166616.8787332,33.57100486755371,30.630285270412806,2,2,0,32.8221321105957,30.30693482819367,1,2,0
198,1748166616.945461,31.934022903442383,30.667335440067035,2,2,0,33.042192459106445,30.300198735825354,1,2,0
199,1748166617.0107641,32.99880027770996,30.636340948849398,2,2,0,32.10020065307617,30.319882661739502,1,2,0
200,1748166617.076172,32.768964767456055,30.648802890745742,2,2,0,34.2710018157959,30.302300250381645,1,2,0
201,1748166617.1435342,32.59706497192383,30.675028431218394,2,1,0,34.17611122131348,30.261831730244296,1,1,0
202,1748166617.210617,32.42993354797363,30.640764897024102,1,1,0,33.57219696044922,30.266927155370027,1,1,0
203,1748166617.276932,32.608747482299805,30.629703693335685,1,1,0,32.547950744628906,30.28320761169643,1,1,0
204,1748166617.3423831,33.36191177368164,30.579109143613703,1,1,0,32.69004821777344,30.283112864889638,1,1,0
205,1748166617.4087412,34.05308723449707,30.563474121910325,1,1,0,32.095909118652344,30.29677710151502,1,1,0
206,1748166617.4751942,32.78827667236328,30.591011387287633,1,1,0,32.705068588256836,30.29497540005754,1,1,0
207,1748166617.540977,32.72700309753418,30.583427375457884,1,1,0,33.68330001831055,30.27143439679842,1,1,0
208,1748166617.6076741,31.862974166870117,30.579614484675332,2,2,0,33.13899040222168,30.270429435101192,1,2,0
209,1748166617.673001,32.340049743652344,30.586780234525406,2,1,0,33.271074295043945,30.251253285275904,0,1,0
210,1748166617.738997,32.54413604736328,30.569733638409247,3,2,1,33.42700004577637,30.230496232393246,1,2,0
211,1748166617.8053079,33.773183822631836,30.566013260830754,2,2,0,32.694101333618164,30.256781673538992,1,2,0
212,1748166617.872107,32.68599510192871,30.534148715423775,2,1,0,32.98687934875488,30.243844049987416,1,1,0
213,1748166617.938082,32.727718353271484,30.510027547234138,2,2,1,32.766103744506836,30.20342991233431,1,2,0
214,1748166618.003882,32.64498710632324,30.52161694144723,2,1,0,32.40966796875,30.221870382504,1,1,0
215,1748166618.069272,31.583070755004883,30.555977957191217,1,1,0,32.59086608886719,30.219351808022317,1,1,0
216,1748166618.13379,33.02001953125,30.565478670208982,1,1,0,32.63092041015625,30.257203659841537,1,1,0
217,1748166618.199741,32.72294998168945,30.577964756480274,1,1,0,33.307790756225586,30.26059452876544,1,1,0
218,1748166618.266067,32.43899345397949,30.594432858694454,1,1,0,33.71119499206543,30.272352028800675,1,1,0
219,1748166618.332528,32.334089279174805,30.608729496532384,1,1,0,32.089948654174805,30.281086882756526,1,1,0
220,1748166618.397254,32.36198425292969,30.571939559316856,1,1,0,32.360076904296875,30.35275098002465,1,1,0
221,1748166618.4624388,32.52601623535156,30.619090064263307,1,1,0,32.26113319396973,30.361774058852014,1,1,0
222,1748166618.5275352,32.84287452697754,30.620371656964757,1,1,0,32.670021057128906,30.35904166767197,1,1,0
223,1748166618.593345,33.31303596496582,30.584036931521954,3,3,2,34.03806686401367,30.341384558700128,1,3,0
224,1748166618.661002,31.937837600708008,30.574598971346955,3,3,0,32.14716911315918,30.342913735865054,2,3,1
225,1748166618.725431,32.17601776123047,30.578559232612047,3,3,0,33.80870819091797,30.3237187458429,2,3,0
226,1748166618.791756,32.582759857177734,30.638526652271352,4,4,1,34.037113189697266,30.329624558900097,2,4,0
227,1748166618.858717,32.26423263549805,30.67944111971112,4,2,0,32.49621391296387,30.33948976351525,1,2,0
228,1748166618.923845,34.963130950927734,30.58463164378171,5,5,1,32.88888931274414,30.34425280703785,1,5,0
229,1748166618.9920661,33.44392776489258,30.570817990723004,5,3,0,32.75609016418457,30.32413529339041,1,3,0
230,1748166619.058671,32.82904624938965,30.56898354928715,3,2,0,33.712148666381836,30.34136992617034,1,2,0
231,1748166619.125558,32.4249267578125,30.574435530449392,4,4,1,34.162044525146484,30.34188938962051,1,4,0
232,1748166619.192498,32.569169998168945,30.570156972282106,5,4,0,32.70292282104492,30.368618183213613,1,4,0
233,1748166619.2581491,32.48715400695801,30.573952647096412,4,3,0,32.95111656188965,30.356199916624206,1,3,0
234,1748166619.3239622,32.49192237854004,30.600920879419657,3,3,0,33.71405601501465,30.32471263259774,2,3,1
235,1748166619.3905091,32.14001655578613,30.66084911384336,4,4,0,32.77897834777832,30.30388387580306,2,4,0
236,1748166619.455787,33.32877159118652,30.643943766520884,4,3,0,32.471656799316406,30.31105239804185,2,3,0
237,1748166619.52194,32.66501426696777,30.645824535048714,4,3,1,32.89484977722168,30.33526939103383,2,3,0
238,1748166619.587868,32.6230525970459,30.62208558230677,3,3,0,32.058000564575195,30.368427619799014,2,3,0
239,1748166619.652895,32.37605094909668,30.620706975087135,4,4,0,32.77230262756348,30.383746284406214,2,4,0
240,1748166619.71838,32.03582763671875,30.636624401317995,4,3,0,33.03384780883789,30.395915425183446,2,3,0
241,1748166619.783843,33.39505195617676,30.648720772928975,3,3,0,34.43503379821777,30.34236497034708,2,3,0
242,1748166619.85201,32.00411796569824,30.670280599808905,3,2,0,34.01374816894531,30.311067001344167,2,2,0
243,1748166619.9183722,32.42778778076172,30.67997970420908,2,2,0,32.24301338195801,30.327007590602058,2,2,0
244,1748166619.9835908,33.331871032714844,30.658652754400617,2,2,0,33.04767608642578,30.307423913574947,2,2,0
245,1748166620.0503192,33.15615653991699,30.609786831982888,3,3,1,32.59587287902832,30.307175719020673,2,3,0
246,1748166620.1166499,32.83500671386719,30.614344634824732,3,2,0,33.323049545288086,30.286035712403162,2,2,0
