# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,yolo11n.pt,Size,5.35 MB
# Model Task,detect,Version,unknown
# Tracker,bytetrack
# Device,auto,Half Precision,False,Confidence Threshold,0.3

# Video,data/clips/2025-05-03_152528フロア10minites_30sec.mp4
# Resolution,640x480,FPS,30,Total Frames,900

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,YOLO_Preprocess_ms,YOLO_Inference_ms,YOLO_Postprocess_ms,CUDA_Used,Model,Tracker,Notes
111,5.934,40.1,0.6,40.6,5,5,18.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
112,5.983,35.0,0.6,35.6,5,5,18.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
113,6.033,35.5,0.6,36.0,5,5,18.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
114,6.082,34.4,0.6,35.0,6,5,18.7,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
115,6.132,35.2,0.6,35.8,5,5,18.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
116,6.181,34.8,0.6,35.4,6,6,18.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
117,6.229,33.6,0.6,34.1,5,5,18.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
118,6.278,34.1,0.6,34.7,6,6,18.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
119,6.328,35.4,0.6,36.0,6,6,18.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
120,6.379,36.6,0.6,37.2,5,5,18.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
121,6.429,35.7,0.6,36.3,5,5,18.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
122,6.482,37.4,0.6,38.0,5,5,18.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
123,6.533,36.0,0.5,36.6,5,5,18.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
124,6.581,34.5,0.6,35.0,5,5,18.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
125,6.632,35.8,0.6,36.4,5,5,18.8,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
126,6.682,36.3,0.6,36.9,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
127,6.734,36.6,0.6,37.2,6,6,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
128,6.783,35.0,0.6,35.6,6,6,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
129,6.834,36.5,0.6,37.1,6,6,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
130,6.887,38.2,0.6,38.8,7,7,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
131,6.938,36.7,0.6,37.2,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
132,6.990,37.7,0.5,38.2,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
133,7.042,38.4,0.6,38.9,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
134,7.096,38.0,0.5,38.6,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
135,7.145,34.2,0.6,34.7,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
136,7.195,35.8,0.6,36.4,6,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
137,7.244,35.0,0.6,35.5,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
138,7.300,41.1,0.5,41.7,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
139,7.353,38.9,0.5,39.5,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
140,7.402,34.0,0.6,34.6,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
141,7.451,35.0,0.5,35.5,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
142,7.500,35.1,0.6,35.7,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
143,7.550,34.7,0.6,35.3,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
144,7.599,35.2,0.6,35.7,5,5,18.9,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
145,7.648,34.8,0.5,35.4,5,5,19.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
146,7.699,35.2,0.5,35.8,5,5,19.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
147,7.746,32.8,0.6,33.4,5,5,19.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
148,7.796,35.3,0.6,35.9,5,5,19.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
149,7.845,34.7,0.6,35.3,5,5,19.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
150,7.894,34.3,0.6,35.0,6,6,19.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
151,7.943,34.5,0.6,35.1,6,6,19.0,0.0,0.0,0.0,Yes,yolo11n,bytetrack,
