# System Information
# OS,Darwin,Darwin Kernel Version 24.4.0: Fri Apr 11 18:34:14 PDT 2025; root:xnu-11417.101.15~117/RELEASE_ARM64_T8122
# Python,3.11.5
# CPU,arm,"8 cores, 8 threads"
# RAM,24.0 GB

# YOLO Model,models/yolov8n.pt
# Tracker,bytetrack

# Video,data/clips/2025-05-03_152528フロア10minites_30sec.mp4

Frame,Time,Detection_Time_ms,Tracking_Time_ms,Stay_Check_Time_ms,Total_Time_ms,Objects_Detected,Objects_Tracked,FPS,Memory_MB,Model,Tracker,Notes
# Resolution,640x480,FPS,30.00
# Stay Threshold (s),6.0
# Move Threshold (px),20.0

123,6.652,51.3,1.0,0.0,53.2,12,11,18.5,724.9,yolov8n,bytetrack,
124,6.705,50.8,1.1,0.0,53.2,12,11,18.5,724.9,yolov8n,bytetrack,
125,6.758,50.5,0.9,0.0,52.4,13,11,18.5,724.9,yolov8n,bytetrack,
126,6.811,50.6,1.0,0.0,52.7,12,11,18.5,726.4,yolov8n,bytetrack,
127,6.863,50.3,1.0,0.0,52.3,13,11,18.5,726.4,yolov8n,bytetrack,
128,6.917,51.2,1.0,0.0,53.3,14,11,18.5,726.4,yolov8n,bytetrack,
129,6.969,50.5,0.9,0.0,52.4,12,10,18.5,726.4,yolov8n,bytetrack,
130,7.021,49.7,1.0,0.0,51.6,11,10,18.5,726.4,yolov8n,bytetrack,
131,7.074,50.3,0.9,0.0,52.0,12,10,18.5,726.4,yolov8n,bytetrack,
132,7.126,50.2,0.9,0.0,52.2,12,10,18.5,726.4,yolov8n,bytetrack,
133,7.179,51.0,0.9,0.0,52.8,10,10,18.5,726.4,yolov8n,bytetrack,
134,7.230,48.9,0.9,0.0,50.8,11,10,18.5,726.4,yolov8n,bytetrack,
135,7.283,50.9,0.9,0.0,52.8,10,10,18.5,726.4,yolov8n,bytetrack,
136,7.336,50.7,0.9,0.0,52.5,10,10,18.5,726.4,yolov8n,bytetrack,
137,7.389,50.7,0.9,0.0,52.5,10,10,18.5,726.4,yolov8n,bytetrack,
138,7.441,49.9,0.9,0.0,51.6,11,10,18.5,726.4,yolov8n,bytetrack,
139,7.495,51.6,0.9,0.0,53.5,11,9,18.5,726.4,yolov8n,bytetrack,
140,7.550,53.6,0.9,0.0,55.4,11,9,18.5,726.4,yolov8n,bytetrack,
141,7.602,49.8,0.9,0.0,51.6,11,10,18.5,726.5,yolov8n,bytetrack,
